spotify_id,name,followers,popularity,genres
3Mcii5XWf6E0lrY3Uky4cA,Ice Cube,6028684.0,74,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
4y0wFJ5jmCUNRLZfsw1I7g,AB6IX,517884.0,48,"['k-pop', 'k-pop boy group']"
19ra5tSw0tWufvUp8GotLo,George Michael,3898805.0,71,['dance pop']
45gHcnDnMC15sgx3VL7ROG,42 Dugg,710893.0,74,"['detroit trap', 'rap', 'southern hip hop', 'trap']"
5CCwRZC6euC8Odo6y9X8jr,Rita Ora,7592797.0,73,"['dance pop', 'edm', 'electropop', 'pop', 'pop rap', 'post-teen pop', 'tropical house', 'uk pop']"
788HzQOFhN3mcDo0InBqbJ,Ismael Rivera,426643.0,50,"['bomba y plena', 'latin jazz', 'puerto rican folk', 'salsa', 'tropical']"
7zFBW2JxM4bgTTKxCRcS8Q,Hiphop Tamizha,5882014.0,65,"['desi hip hop', 'tamil hip hop', 'tamil pop']"
3iTsJGG39nMg9YiolUgLMQ,Morrissey,929637.0,59,"['britpop', 'madchester', 'new wave', 'permanent wave', 'pop rock', 'rock', 'solo wave']"
32x1uogH2zajP85pzZAtuE,Axel,1353402.0,56,"['argentine telepop', 'latin arena pop', 'latin pop']"
7zVYyYhGZxvPHPuhzReYHP,Ziynet Sali,1049717.0,60,"['turkish pop', 'turkish trap pop']"
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,15862633.0,86,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
378dH6EszOLFShpRzAQkVM,Lindsey Stirling,1943879.0,64,"['bow pop', 'pop violin']"
4xnihxcoXWK3UqryOSnbw5,Sasha Alex Sloan,1174594.0,70,"['alt z', 'electropop', 'pop']"
7j5PGC0BF48rRtcmgbVvOT,Arsy Widianto,478123.0,57,['indonesian pop']
3AIPhNgeF9S1Kyg9Yy3UQW,Dani Martín,794946.0,64,"['latin pop', 'spanish pop', 'spanish pop rock']"
2tQbSWgZLIB8MXMnsXVRro,Nina,621138.0,54,"['dance pop', 'opm', 'pop rock']"
5wPoxI5si3eJsYYwyXV4Wi,N.E.R.D,761535.0,58,"['hip hop', 'virginia hip hop']"
3S6gaE89XewFAvZqsMuJDJ,Norm Ender,1725869.0,56,"['turkish hip hop', 'turkish trap']"
12SPNXi0aDpFt0rMVbmLrr,Jay Hardway,415961.0,49,"['dutch edm', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house']"
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,26039960.0,87,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']"
7qAoXV4U0qDxQAUqhszjAA,Manuel Carrasco,1892194.0,65,"['carnaval cadiz', 'latin pop', 'pop flamenco', 'spanish pop']"
3eCd0TZrBPm2n9cDG6yWfF,DEAN,1269150.0,63,"['k-pop', 'korean r&b']"
1SZXYhJz4sqEss888VmWLP,Mc Brinquedo,928324.0,50,"['funk carioca', 'funk mtg', 'funk ostentacao', 'funk paulista']"
1GDbiv3spRmZ1XdM1jQbT7,Natti Natasha,8355571.0,76,"['latin pop', 'rap latina', 'reggaeton', 'trap latino']"
4GepMkTgrIZECoCC55vqjW,Marama,1064294.0,60,['cumbia pop']
4XpUIb8uuNlIWVKmgKZXC0,ZICO,1188578.0,63,"['k-pop', 'k-rap', 'korean r&b']"
6U3ybJ9UHNKEdsH7ktGBZ7,JID,987676.0,80,"['hip hop', 'rap']"
295s7rUdwD6adgPiYMRUAM,Musa Eroğlu,586487.0,54,"['arabesk', 'baglama', 'turkish folk']"
5iZMWWLoDJH1u6Ru2rOEsd,Keen' V,542581.0,59,"['francoton', 'french pop', 'variete francaise']"
06nsZ3qSOYZ2hPVIMcr1IN,J.J. Cale,650504.0,61,"['blues', 'blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter']"
1vSN1fsvrzpbttOYGsliDr,Tori Kelly,2052997.0,67,['dance pop']
5lzqFxifzjxYHGJxuwQqtR,Francesco Gabbani,602462.0,52,"['italian adult pop', 'italian pop']"
7ygNQCdpQWW7iSWAxDhvhI,DJ Alex,676742.0,59,['cumbia 420']
0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,7604808.0,76,"['contemporary country', 'country', 'country road']"
7gjAu1qr5C2grXeQFFOGeh,Passion Pit,1217196.0,59,"['alternative dance', 'indie rock', 'indietronica', 'modern rock']"
44IvvHRk2XF243QLA2VOa8,Stunna 4 Vegas,776388.0,59,"['trap', 'viral rap']"
2gDqGAadPIPiA7LtmNn74g,Gian Marco,1192034.0,61,"['latin pop', 'peruvian rock', 'pop peruano', 'tropical']"
4BmWSGKG6HiYvLuJvZ9afa,Namie Amuro,1230106.0,59,"['classic j-pop', 'j-pop', 'okinawan pop']"
27Owkm4TGlMqb0BqaEt3PW,Molotov,1991913.0,65,"['latin alternative', 'latin hip hop', 'latin rock', 'mexican hip hop', 'mexican rock', 'rock en espanol']"
5Tl7XjM9Y7Q2D9eIHz5GTO,Ten2Five,442162.0,46,"['indonesian indie', 'indonesian pop']"
6qcIg4IPLulyc03mWR87N8,Kanika Kapoor,425430.0,58,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood']"
4QQgXkCYTt3BlENzhyNETg,"Earth, Wind & Fire",3592523.0,72,"['disco', 'funk', 'jazz funk', 'quiet storm', 'soul']"
7FnZWGw9lwOr7WzieTKEPR,Los Pericos,1148664.0,63,"['argentine reggae', 'argentine rock', 'latin alternative', 'latin rock', 'reggae en espanol', 'rock en espanol', 'ska argentino']"
6UBA15slIuadJ8h2lPRPos,Tech N9ne,2523206.0,70,"['hip hop', 'kansas city hip hop', 'pop rap', 'southern hip hop']"
5NipqMGsY4AUeb7kGT8aVz,kizaru,926591.0,61,"['russian emo rap', 'russian hip hop', 'russian trap']"
5oYHL2SijkMY52gKIhYJNb,Elefante,1602531.0,67,"['latin alternative', 'latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'rock en espanol']"
7MiDcPa6UiV3In7lIM71IN,Gusttavo Lima,17171304.0,80,"['arrocha', 'sertanejo', 'sertanejo universitario']"
7tKpXx21KVUOR6vvDs6xtg,I Belong to the Zoo,1987846.0,57,"['opm', 'pinoy indie']"
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,7531004.0,81,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']"
61bQ4nwIioR8w6PGxzpyY3,Rondodasosa,524134.0,68,"['drill italiana', 'italian hip hop', 'trap italiana']"
04TVfWdJWbfH0FOT2zA1Tg,Amar Azul,619164.0,61,"['chicha', 'cumbia chilena', 'cumbia villera']"
0lMa3YTHqQnDDTBaxAV7LK,Ranveer Singh,474708.0,51,"['desi hip hop', 'desi pop', 'filmi', 'hindi hip hop', 'modern bollywood']"
5UdFr0GeO7jKIaNIJgwB36,Raftaar,872426.0,61,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']"
4ZfTpxwHwtot9Ps59bXAF8,Sandy,1032826.0,59,"['mpb', 'nova mpb', 'pop nacional']"
6HCBnyTBSLdb3TFn2ayulY,Leto,621175.0,67,"['french hip hop', 'pop urbaine', 'rap francais']"
29D4iRqjepAsZt6o5hccND,Miliyah,466801.0,52,"['anime', 'j-pop', 'japanese r&b']"
1EXjXQpDx2pROygh8zvHs4,Melendi,3160449.0,71,"['spanish pop', 'spanish pop rock']"
5GVk1KCKa1tdHRev4bMw7V,NOBITA,734959.0,62,['opm']
117XFtbZPnCI1EYKjYZWJc,Skusta Clee,1439318.0,62,"['opm', 'pinoy hip hop', 'tagalog rap']"
250b0Wlc5Vk0CoUsaCY84M,JENNIE,2734532.0,61,['k-pop']
0bzfPKdbXL5ezYW2z3UGQj,Michael Kiwanuka,1229671.0,64,"['british soul', 'neo soul', 'psychedelic soul', 'soul']"
03zz3zpyV15ZGw1cgjZ7tj,Nino Bravo,659474.0,53,"['cantautor', 'pop romantico', 'spanish pop']"
6udveWUgX4vu75FF0DTrXV,TAEYANG,826859.0,54,['korean r&b']
45ft4DyTCEJfQwTBHXpdhM,milet,447506.0,61,['j-pop']
5xkAtLTf309LAGZTbvULBn,Ruel,1737474.0,67,"['australian alternative pop', 'dance pop', 'pop', 'post-teen pop', 'uk pop']"
66Ok6bgC570sHkw08N20pZ,OBOY,631475.0,68,"['french hip hop', 'pop urbaine', 'rap francais']"
4QVBYiagIaa6ZGSPMbybpy,Pedro Capó,1525705.0,68,"['latin pop', 'puerto rican pop']"
6Q0JYiqcSa28nT0KOQZtX6,Ahmed Mekky,1294002.0,40,"['arabic hip hop', 'egyptian hip hop', 'egyptian pop']"
2otUckChxWf2cp6UP2cD6e,Zuna,977513.0,67,"['albanian hip hop', 'german hip hop']"
7bu3H8JO7d0UbMoVzbo70s,The Cure,3933576.0,74,"['new wave', 'permanent wave', 'rock', 'uk post-punk']"
1nIUhcKHnK6iyumRyoV68C,Ennio Morricone,940452.0,64,"['classic soundtrack', 'italian soundtrack', 'orchestral soundtrack', 'soundtrack', 'vintage italian soundtrack']"
4XDi67ZENZcbfKnvMnTYsI,Jay Park,1789181.0,67,"['k-pop', 'k-rap', 'korean r&b']"
4xRYI6VqpkE3UwrDrAZL8L,Logic,5783112.0,77,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
3Fl1V19tmjt57oBdxXKAjJ,Blueface,5364910.0,68,"['cali rap', 'trap']"
2iK1rsbYstkSVn57M4s8ut,Gaab,1247305.0,67,"['funk carioca', 'r&b brasileiro']"
5gCRApTajqwbnHHPbr2Fpi,Juicy J,2891371.0,73,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
0epOFNiUfyON9EYx7Tpr6V,The Strokes,4523700.0,75,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']"
2aqFBHOpM9uIgBpUsdq09x,Siddhartha,640696.0,69,['mexican indie']
00sCATpEvwH48ays7PlQFU,Jonita Gandhi,758951.0,71,['modern bollywood']
6tw6EpC9RgmSRZiZg0n22t,Legião Urbana,5309254.0,67,"['brazilian rock', 'mpb', 'rock brasiliense', 'rock nacional brasileiro']"
2txHhyCwHjUEpJjWrEyqyX,Tom Odell,2371386.0,77,"['chill pop', 'pop']"
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,9097882.0,76,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']"
0CaWnepnGfVPs8uNwOzav6,Zouhair Bahaoui,757910.0,51,"['moroccan pop', 'rif']"
